data,sample,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,za,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,max_dist,adm,dm,am,num_fake_edges,radm,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,removed_entities,num_removed_edges,num_anonymized_fake_entities
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,,0.47461389677992766,0.47084475333332937,0.4783830402265212,255772,0.007244527709520856,5000,2646,43780,276219,1,2,1,2354,23333,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.00,0.00,0.0,0.6911823979423717,0.6854244866666658,0.696940309218077,296217,0.018464945176418262,5000,1573,43780,307530,1,5,1,3427,32467,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.75,0.75,0.75,0.029461351352706056,0.00016754666666665658,0.05875515603874552,1132040,0.029461351352706056,5000,5000,43780,1174655,1,8,1,0,1165,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.25,0.25,0.25,0.018766894256984135,0.00020431999999998953,0.037329468513968476,765555,0.018766894256984135,5000,5000,43780,808786,1,5,1,0,549,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.00,0.00,0.0,0.2101703835794563,0.18948625333332944,0.2308545138255801,886471,0.025635899705436734,5000,4053,43780,919162,1,14,1,947,11089,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#0.50,0.50,0.5,0.027290812218668265,0.0013897200000000834,0.053191904437336464,1052584,0.026122272914928683,5000,4994,43780,1095151,1,25,1,6,1213,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.25,0.25,0.25,0.009345177147926521,9.982666666666387e-05,0.018590527629186438,350052,0.009345177147926521,5000,5000,43780,392900,1,5,1,0,932,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.75,0.75,0.75,0.018616527326833082,0.000177546666666658,0.03705550798699978,758751,0.018616527326833082,5000,5000,43780,801409,1,5,1,0,1122,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,,0.6980432877309429,0.6854318199999914,0.710654755461884,655763,0.040298632822820465,5000,1573,43780,667018,1,5,1,3427,32525,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.50,0.50,0.5,0.009345177147926521,9.982666666666387e-05,0.018590527629186438,350052,0.009345177147926521,5000,5000,43780,392900,1,5,1,0,932,0
