calgo_str,enforcer,info_loss_args_str,gen,alpha_dm,sample,enforcer_str,max_dist,anonymized_anonymity,alpha_adm,data,anonymized_attribute_anonymity,num_anonymized_edges,info_loss,num_removed_edges,max_k,handler_str,anonymized_degree_anonymity,za,gen_str,range_k,min_k,num_anonymized_entities,num_anonymized_fake_entities,calgo,num_raw_edges,num_fake_edges,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,25,1089610,adm,1155,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1046985,1,0.028543986619132402,0.003180646666666839,0.053907326571598205,0.025621121769797875,5000,15
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,25,1099266,adm,1175,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1056661,0,0.028531692799593777,0.003227286666666771,0.05383609893252102,0.025608861339479844,5000,15
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1092609,adm,1195,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1050024,1,0.02847598781010891,0.003187153333333463,0.05376482228688435,0.02555292816934112,5000,15
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1097033,adm,1776,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1055029,0,0.028747058438144974,0.003151233333333465,0.05434288354295663,0.02582476025149713,5000,15
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1104009,adm,774,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1061003,2,0.02891903039209186,0.003213873333333458,0.054624187450850084,0.02599734420001776,5000,15
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,25,1085980,adm,1502,50,n,1,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1043702,1,0.027020184865562517,0.0013590800000000617,0.05268128973112508,0.02585130199062654,5000,6
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,25,1111536,adm,876,50,n,1,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1068632,0,0.027784020830173374,0.0014021600000000602,0.05416588166034698,0.02661608156978737,5000,6
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,25,1119501,adm,686,50,n,1,2.0,"zipf#5,50,5,2",5,5,4994,0,hdbscan,43780,1076407,2,0.028015003874824054,0.0014339333333334015,0.05459607441631489,0.026847361236942802,5000,6
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,25,1094294,adm,1012,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1051526,2,0.02603232078339149,0.00018247999999998984,0.05188216156678311,0.02603232078339149,5000,0
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,25,1100929,adm,500,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1057649,1,0.026249787750774613,0.00022802666666665367,0.052271548834882664,0.026249787750774613,5000,0
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,25,1107689,adm,509,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1064418,0,0.026406617697355795,0.0002169599999999889,0.05259627539471164,0.026406617697355795,5000,0
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,25,1085446,adm,1590,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1043256,2,0.02577559687311338,0.0001317199999999928,0.05141947374622667,0.02577559687311338,5000,0
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,26,1115709,adm,1024,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1072953,1,0.026688762164729932,0.0001856799999999903,0.05319184432946014,0.026688762164729932,5000,0
hdbscan#mean,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,50,1119951,adm,597,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,hdbscan,43780,1076768,0,0.026608571903332597,0.00021653333333332135,0.05300061047333162,0.026608571903332597,5000,0
hdbscan#mean,sr,"0.50,0.50",te,0.5,-1,sr,,1,0.5,freebase,2,19209154,adm,2035,5,n,1,,"te#2,5,1",1,2,4998,0,hdbscan,43780,19167409,0,0.32110274658336097,0.0005566799999999903,0.6416488131667211,0.3208311103760516,5000,2
hdbscan#mean,sr,"0.50,0.50",te,0.5,-1,sr,,1,0.5,freebase,622,19808547,adm,459,50,n,1,,"te#5,50,5",5,5,4985,0,hdbscan,43780,19765226,0,0.33390566247437076,0.003496566666666616,0.6643147582820739,0.33190211591338453,5000,15
