data,sample,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,num_fake_edges,radm,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,removed_entities,num_removed_edges,num_anonymized_fake_entities,za,max_dist
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,0.002304893443231605,0.00460978688646321,0.0,4658,0.002304893443231605,1005,1005,26576,31038,1,1,1,0,196,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,0.00030494294695675666,0.0006098858939135133,0.0,630,0.00030494294695675666,1005,1005,26576,27173,1,1,1,0,33,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,sr,sr,,0.005928601484404555,0.0069057696591668435,0.004951433309642257,7201,0.005928601484404555,1005,1005,26576,33697,1,1,1,0,80,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,0.11151591014366703,0.06439642583104373,0.15863539445628994,71895,0.11151591014366703,1005,1005,26576,95914,1,6,1,0,2557,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,0.0822475398416591,0.04115937724313736,0.12333570244018072,46906,0.0822475398416591,1005,1005,26576,71451,1,3,1,0,2031,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,sr,sr,,0.0822475398416591,0.04115937724313736,0.12333570244018072,46906,0.0822475398416591,1005,1005,26576,71451,1,3,1,0,2031,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,0.0022068760674240754,0.004413752134848151,0.0,4504,0.0022068760674240754,1005,1005,26576,30990,1,1,1,0,90,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,0.00031880399000024545,0.0006376079800004909,0.0,649,0.00031880399000024545,1005,1005,26576,27216,1,1,1,0,9,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,0.00031038835672384126,0.0006207767134476825,0.0,630,0.00031038835672384126,1005,1005,26576,27191,1,1,1,0,15,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,sr,sr,,0.005655942038209789,0.006431523972178896,0.0048803601042406945,6702,0.005655942038209789,1005,1005,26576,33131,1,2,1,0,147,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,0.11151591014366703,0.06439642583104373,0.15863539445628994,71895,0.11151591014366703,1005,1005,26576,95914,1,6,1,0,2557,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,0.08231882520588278,0.04130194797158467,0.12333570244018072,47035,0.08231882520588278,1005,1005,26576,71579,1,3,1,0,2032,0,2.0,
email,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,0.0023776639192099208,0.0047553278384198415,0.0,4850,0.0023776639192099208,1005,1005,26576,31333,1,1,1,0,93,0,2.0,
