range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,hdbscan#max,ms#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,1.0,0.5,-1,ms,,hdbscan,0.0,0.0008201484721843432,0.0006814722177170467,0.0006814722177170467,0.0,8917.0,0.0,0.0,0.0008201484721843432
1,hdbscan#max,ms#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,1.0,0.5,-1,ms,2.0,hdbscan,1.0,0.0016658817350879518,0.0015452569366840238,0.0015452569366840238,0.0,8917.0,0.0,0.0,0.0016658817350879518
1,hdbscan#max,sr,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,,0.5,-1,sr,,hdbscan,0.0,0.35447413876973743,0.0044757578592937945,0.0044757578592937945,0.0,8917.0,0.0,225.0,0.35447413876973743
1,hdbscan#max,sr,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,,0.5,-1,sr,2.0,hdbscan,1.0,0.35447413876973743,0.0044757578592937945,0.0044757578592937945,0.0,8917.0,0.0,135.33333333333334,0.35447413876973743
1,hdbscan#mean,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,kp,,hdbscan,0.0,0.1633222817814405,0.0019174449832334629,0.0019174449832334629,1442.0,8917.0,0.0,1417.0,0.001608700980722759
1,hdbscan#mean,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,kp,2.0,hdbscan,1.0,0.16331766320892532,0.0019119766015466358,0.0019119766015466358,1442.0,8917.0,0.0,194.0,0.0016040824082075977
1,hdbscan#mean,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,kp,,hdbscan,0.0,0.001940601309052501,0.0018929325441815695,0.0018929325441815695,0.0,8917.0,0.0,1685.0,0.001940601309052501
1,hdbscan#mean,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.25,0.5,-1,kp,2.0,hdbscan,1.0,0.0019476967893304815,0.001900520692424547,0.001900520692424547,0.0,8917.0,0.0,240.0,0.0019476967893304815
1,hdbscan#mean,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.5,0.5,-1,kp,,hdbscan,0.0,0.00194735799491309,0.0019006305928876105,0.0019006305928876105,0.0,8917.0,0.0,1685.0,0.00194735799491309
1,hdbscan#mean,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.5,0.5,-1,kp,2.0,hdbscan,1.0,0.0019436529759082916,0.0018960431566984624,0.0018960431566984624,0.0,8917.0,0.0,248.0,0.0019436529759082916
