range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,hdbscan#max,ms#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,1.0,0.5,-1,ms,,hdbscan,0.0,0.0016313176694557373,0.0012830926178474039,0.0012830926178474039,0.0,5000.0,0.0,0.0,0.0016313176694557373
1,hdbscan#max,ms#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,1.0,0.5,-1,ms,2.0,hdbscan,1.0,0.002553629641225415,0.002393827166093959,0.002393827166093959,0.0,5000.0,0.0,0.0,0.002553629641225415
1,hdbscan#max,sr,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,,0.5,-1,sr,,hdbscan,0.0,0.331149193594611,0.18443435378045883,0.18443435378045883,0.0,5000.0,0.0,4.0,0.331149193594611
1,hdbscan#max,sr,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,,0.5,-1,sr,2.0,hdbscan,1.0,0.331149193594611,0.18443435378045883,0.18443435378045883,0.0,5000.0,0.0,4.0,0.331149193594611
1,hdbscan#mean,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.0,0.5,-1,kp,,hdbscan,0.0,0.01789579258684532,0.0027247415392715646,0.0027247415392715646,76.0,5000.0,0.0,711.0,0.0026957925868453204
1,hdbscan#mean,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.0,0.5,-1,kp,2.0,hdbscan,1.0,0.017907942243379785,0.002737111472312892,0.002737111472312892,76.0,5000.0,0.0,111.66666666666667,0.0027079422433797847
1,hdbscan#mean,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.25,0.5,-1,kp,,hdbscan,0.0,0.0027456891759121554,0.0027302127040904167,0.0027302127040904167,0.0,5000.0,0.0,720.0,0.0027456891759121554
1,hdbscan#mean,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.25,0.5,-1,kp,2.0,hdbscan,1.0,0.002735256783979815,0.0027195101923294072,0.0027195101923294072,0.0,5000.0,0.0,113.66666666666667,0.002735256783979815
1,hdbscan#mean,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.5,0.5,-1,kp,,hdbscan,0.0,0.002720378789223145,0.0027051348536902553,0.0027051348536902553,0.0,5000.0,0.0,723.0,0.002720378789223145
1,hdbscan#mean,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.5,0.5,-1,kp,2.0,hdbscan,1.0,0.0027467276558404475,0.0027305386345851286,0.0027305386345851286,0.0,5000.0,0.0,116.0,0.0027467276558404475
1,hdbscan#mean,kp#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.75,0.5,-1,kp,,hdbscan,0.0,0.0027553573679394918,0.002739827876697054,0.002739827876697054,0.0,5000.0,0.0,729.0,0.0027553573679394918
1,hdbscan#mean,kp#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.75,0.5,-1,kp,2.0,hdbscan,1.0,0.002759531564964456,0.0027425064880991037,0.0027425064880991037,0.0,5000.0,0.0,113.33333333333333,0.002759531564964456
1,hdbscan#mean,kp#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,1.0,0.5,-1,kp,,hdbscan,0.0,0.002756938635043151,0.0027404800700870117,0.0027404800700870117,0.0,5000.0,0.0,715.0,0.002756938635043151
1,hdbscan#mean,kp#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,1.0,0.5,-1,kp,2.0,hdbscan,1.0,0.0027439485976658885,0.0027288766152420824,0.0027288766152420824,0.0,5000.0,0.0,114.66666666666667,0.0027439485976658885
1,hdbscan#mean,ms#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.0,0.5,-1,ms,,hdbscan,0.0,0.001999929234302749,0.0012686414648129926,0.0012686414648129926,2.0,5000.0,0.0,0.0,0.0015999292343027492
1,hdbscan#mean,ms#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.0,0.5,-1,ms,2.0,hdbscan,1.0,0.00826090726430947,0.002362265122046127,0.002362265122046127,28.666666666666668,5000.0,0.0,0.0,0.0025275739309761377
