data,sample,anony_mode,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm,max_dist,za
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.50,0.50,0.0016244065771865478,0.0012888913992017614,0.0012888913992017614,0,5000,0,0,0.0016244065771865478,0.5,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.75,0.75,0.0016457145641672402,0.0012976317036053277,0.0012976317036053277,0,5000,0,0,0.0016457145641672402,0.75,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0,0,0.002048774482648354,0.0012939922522477727,0.0012939922522477727,2,5000,0,0,0.0016487744826483542,0.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#1.00,1.00,0.0016397547661393134,0.0012953800355329885,0.0012953800355329885,0,5000,0,0,0.0016397547661393134,1.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,sr,sr,,0.32144797991669327,0.0165415911819987,0.0165415911819987,2,5000,0,26,0.32104797991669326,,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0.25,0.25,0.0030427405773404926,0.0028409074309561893,0.0028409074309561893,0,5000,0,765,0.0030427405773404926,0.25,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0.75,0.75,0.003045322041349887,0.002843316524809392,0.002843316524809392,0,5000,0,760,0.003045322041349887,0.75,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0,0,0.23105836532006316,0.0022540005454537147,0.0022540005454537147,1146,5000,0,600,0.0018583653200631525,0.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#1.00,1.00,0.003040780495192679,0.002836987200269414,0.002836987200269414,0,5000,0,760,0.003040780495192679,1.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.25,0.25,0.001239432917370738,0.0010889278842969054,0.0010889278842969054,0,5000,0,0,0.001239432917370738,0.25,
