data,sample,anony_mode,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm,max_dist,za
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,kp,kp#1.00,1.00,0.014590316377142693,0.01441831063645048,0.01441831063645048,0,8917,0,1,0.014590316377142693,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.25,0.25,0.014578128152316887,0.014402617415610011,0.014402617415610011,0,8917,0,0,0.014578128152316887,0.25,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.50,0.50,0.014360102859045584,0.014099101394668455,0.014099101394668455,0,8917,0,0,0.014360102859045584,0.5,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.75,0.75,0.014471668502390995,0.014159146517544276,0.014159146517544276,0,8917,0,0,0.014471668502390995,0.75,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0,0,0.2602563723428964,0.014936488750723977,0.014936488750723977,2212,8917,0,0,0.012190879464125491,0.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#1.00,1.00,0.014248072727330701,0.013949313140811468,0.013949313140811468,0,8917,0,0,0.014248072727330701,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,sr,sr,,0.6018373451653412,0.029723981855829678,0.029723981855829678,2212,8917,0,2,0.3537718522865703,,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0.50,0.50,0.015319327041144411,0.014624838015096182,0.014624838015096182,1,8917,0,5,0.015207181700783305,0.5,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0.75,0.75,0.01514354369260348,0.014527258690654599,0.014527258690654599,0,8917,0,3,0.01514354369260348,0.75,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#0,0,0.08646167663793548,0.012684833699222468,0.012684833699222468,664,8917,0,4,0.01199717063815978,0.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,kp,kp#1.00,1.00,0.01511761862223268,0.014510064322786832,0.014510064322786832,0,8917,0,2,0.01511761862223268,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.25,0.25,0.014921485407039418,0.013799703178275608,0.013799703178275608,5,8917,0,0,0.014360758705233878,0.25,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.50,0.50,0.015174529068038695,0.014219660113438733,0.014219660113438733,1,8917,0,0,0.015062383727677587,0.5,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.75,0.75,0.015002769142244625,0.014423688550740596,0.014423688550740596,0,8917,0,0,0.015002769142244625,0.75,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0,0,0.0844559987615647,0.012413449290872982,0.012413449290872982,648,8917,0,0,0.011785818207566726,0.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#1.00,1.00,0.01535993375707061,0.014736940984989899,0.014736940984989899,0,8917,0,0,0.01535993375707061,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,0.17080198876200545,0.04372902559402956,0.04372902559402956,648,8917,0,8,0.09813180820800746,,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,kp,kp#0.25,0.25,0.01621797415224276,0.015257642902264012,0.015257642902264012,5,8917,0,3,0.01565724745043722,0.25,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,kp,kp#0.75,0.75,0.016661846531751498,0.01624411930462835,0.01624411930462835,0,8917,0,4,0.016661846531751498,0.75,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,kp,kp#0,0,0.4132964884588476,0.010029989025597746,0.010029989025597746,3631,8917,0,2,0.006096757607664441,0.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,kp,kp#1.00,1.00,0.016690601868985515,0.01626509536310739,0.01626509536310739,0,8917,0,2,0.016690601868985515,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.25,0.25,0.016171959451380367,0.014474660964699848,0.014474660964699848,5,8917,0,0,0.015611232749574827,0.25,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.50,0.50,0.016267085465466343,0.015083815782824542,0.015083815782824542,1,8917,0,0,0.016154940125105235,0.5,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.75,0.75,0.016227928850523474,0.015212047982065255,0.015212047982065255,0,8917,0,0,0.016227928850523474,0.75,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0,0,0.3769834719576851,0.008867900120962736,0.008867900120962736,3306,8917,0,0,0.006230976723862057,0.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#1.00,1.00,0.016206814684906343,0.015199070707324801,0.015199070707324801,0,8917,0,0,0.016206814684906343,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,0.3969144649879655,0.015011475043073675,0.015011475043073675,3306,8917,0,13,0.026161969754142443,,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,kp,kp#0.25,0.25,0.016297551906575912,0.015381786476803638,0.015381786476803638,5,8917,0,2,0.015736825204770374,0.25,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,kp,kp#0.50,0.50,0.016705206193408567,0.016278830767855208,0.016278830767855208,1,8917,0,1,0.01659306085304746,0.5,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,kp,kp#0,0,0.3795481318233144,0.010378406846527626,0.010378406846527626,3325,8917,0,3,0.006664875122630348,0.0,2.0
